id,Main_mood,happy,sad,romantic,calm
5809,happy,9,7,4,1
5810,romantic,3,7,8,2
5811,romantic,1,5,12,4
5812,romantic,6,1,10,4
5813,romantic,6,2,14,2
5814,romantic,1,3,11,1
5815,sad,3,4,0,0
5816,romantic,1,2,19,1
5817,happy,sad,romantic,calm,0,0,0,0
5818,sad,1,4,2,0
5819,sad,10,15,13,7
5820,happy,37,6,11,2
5821,romantic,3,1,4,1
5822,sad,5,7,6,4
5823,sad,3,9,7,3
5824,sad,3,7,4,3
5825,romantic,1,1,5,0
5826,sad,4,7,5,1
5827,romantic,4,10,14,6
5828,sad,1,11,1,1
5829,romantic,3,4,8,0
5830,romantic,9,21,37,13
5831,romantic,2,3,6,1
5832,sad,romantic,calm,0,1,1,1
5833,romantic,3,10,15,4
5834,romantic,4,13,21,6
5835,happy,sad,romantic,calm,0,0,0,0
5836,sad,15,37,19,0
5837,romantic,6,16,17,8
5838,sad,3,27,13,5
5839,romantic,0,0,3,0
5840,sad,4,9,6,1
5841,sad,15,25,16,3
5842,romantic,9,16,25,11
5843,calm,46,53,16,59
5844,calm,49,50,35,62
5845,calm,47,20,28,65
5846,calm,91,83,16,96
5847,happy,5,4,4,2
5848,romantic,6,2,9,2
5849,romantic,5,0,10,3
5850,romantic,9,11,16,6
5851,romantic,9,11,19,2
5852,romantic,12,16,20,2
5853,sad,15,17,16,7
5854,happy,sad,4,4,3,0
5855,happy,romantic,9,3,9,2
5856,happy,romantic,4,3,4,3
5857,sad,1,6,5,5
5858,romantic,1,3,4,3
5859,romantic,1,2,4,2
5860,romantic,0,0,1,0
5861,happy,romantic,2,1,2,0
5862,romantic,5,5,10,4
5863,happy,romantic,2,0,2,0
5864,sad,0,4,0,0
5865,happy,sad,romantic,calm,0,0,0,0
5866,happy,sad,romantic,calm,2,2,2,2
5867,happy,sad,romantic,calm,1,1,1,1
5868,happy,sad,romantic,1,1,1,0
5869,happy,romantic,3,0,3,0
5870,sad,0,1,0,0
5871,romantic,0,0,1,0
5872,romantic,calm,1,1,2,2
5873,happy,14,13,9,4
5874,romantic,13,17,18,1
5875,sad,16,20,7,5
5876,sad,6,12,5,2
5877,romantic,15,15,21,2
5878,happy,21,19,16,9
5879,romantic,28,18,38,5
5880,romantic,calm,2,0,4,4
5881,romantic,0,0,5,0
5882,romantic,0,0,2,0
5883,romantic,0,5,8,5
5884,romantic,4,12,14,9
5885,romantic,10,2,11,10
5886,calm,1,2,1,4
5887,romantic,2,0,3,0
5888,romantic,1,0,9,0
5889,happy,8,2,0,0
5890,sad,1,2,1,0
5891,romantic,1,2,14,2
5892,happy,9,0,2,0
5893,romantic,1,8,13,7
5894,romantic,4,2,12,2
5895,romantic,1,1,2,0
5896,happy,3,1,2,1
5897,romantic,10,7,11,7
5898,romantic,19,11,23,2
5899,romantic,0,1,3,0
5900,romantic,0,5,9,0
5901,romantic,0,3,6,2
5902,romantic,1,8,10,7
5903,romantic,10,6,16,7
5904,happy,3,1,2,0
5905,romantic,2,6,10,3
5906,sad,romantic,1,5,5,0
5907,romantic,1,1,2,1
5908,happy,6,4,4,2
5909,romantic,3,5,10,3
5910,happy,romantic,1,0,1,0
5911,happy,sad,romantic,calm,0,0,0,0
5912,happy,4,1,0,0
5913,romantic,1,0,3,0
5914,happy,3,0,2,1
5915,sad,romantic,1,4,4,0
5916,sad,3,4,3,3
5917,romantic,3,4,10,5
5918,romantic,0,0,11,2
5919,romantic,0,0,9,0
5920,sad,calm,5,7,4,7
5921,happy,romantic,5,1,5,1
5922,romantic,0,1,9,1
5923,sad,0,6,4,2
5924,romantic,2,3,12,1
5925,romantic,1,1,2,0
5926,happy,sad,calm,12,12,2,12
5927,romantic,1,4,9,3
5928,romantic,3,4,16,1
5929,romantic,3,4,6,1
5930,sad,5,17,15,8
5931,happy,romantic,4,0,4,0
5932,happy,6,4,5,2
5933,romantic,1,2,5,1
5934,sad,0,2,1,0
5935,sad,0,3,2,0
5936,romantic,0,1,9,1
5937,romantic,3,3,4,1
5938,romantic,0,2,4,0
5939,romantic,0,0,1,0
5940,happy,sad,4,4,3,0
5941,romantic,1,1,7,1
5942,happy,4,3,2,0
5943,sad,3,6,5,4
5944,sad,2,5,2,0
5945,sad,romantic,0,6,6,4
5946,sad,1,20,10,6
5947,romantic,2,2,6,1
5948,happy,8,1,7,1
5949,sad,0,3,0,0
5950,happy,9,5,8,1
5951,romantic,5,7,16,0
5952,romantic,3,1,4,0
5953,romantic,7,10,14,3
5954,romantic,2,3,11,1
5955,romantic,12,2,17,2
5956,romantic,12,8,23,8
5957,romantic,1,0,3,0
5958,sad,2,4,3,0
5959,romantic,2,3,14,3
5960,romantic,1,1,4,0
5961,romantic,2,0,12,0
5962,romantic,1,1,10,0
5963,sad,romantic,calm,0,9,9,9
5964,sad,romantic,3,10,10,3
5965,romantic,3,0,7,0
5966,romantic,0,4,8,2
5967,sad,3,15,13,7
5968,romantic,2,4,14,4
5969,romantic,4,6,7,5
5970,romantic,1,0,6,0
5971,romantic,0,0,2,0
5972,sad,1,9,4,1
5973,sad,romantic,7,12,12,1
5974,sad,7,17,13,7
5975,romantic,7,7,11,0
5976,sad,5,8,7,2
5977,sad,3,9,7,4
5978,sad,1,13,3,1
5979,sad,4,5,4,4
5980,romantic,0,2,5,2
5981,romantic,0,3,4,3
5982,sad,11,17,10,3
5983,romantic,1,24,51,0
5984,romantic,5,0,9,0
5985,romantic,0,1,2,0
5986,romantic,7,0,9,0
5987,happy,romantic,4,2,4,1
5988,happy,5,3,4,2
5989,romantic,1,1,2,1
5990,romantic,1,1,2,0
5991,happy,3,1,1,2
5992,happy,2,0,1,0
5993,romantic,1,1,8,1
5994,romantic,1,1,3,1
5995,romantic,3,10,13,9
5996,romantic,0,1,5,0
5997,romantic,8,2,12,0
5998,romantic,1,1,5,1
5999,sad,3,9,7,3
6000,sad,26,28,4,8
6001,romantic,5,2,12,6
6002,happy,sad,5,5,0,0
6003,sad,4,11,4,4
6004,sad,4,15,3,8
6005,sad,19,35,23,16
6006,sad,2,34,18,9
6007,sad,16,22,5,5
6008,sad,3,17,5,14
6009,romantic,3,3,5,1
6010,sad,7,28,4,5
6011,happy,12,11,2,0
6012,sad,6,16,10,7
6013,sad,romantic,2,5,5,1
6014,romantic,0,3,8,1
6015,romantic,0,2,3,2
6016,happy,romantic,5,2,5,1
6017,sad,1,7,5,1
6018,sad,8,13,9,2
6019,romantic,3,0,4,0
6020,romantic,5,10,21,2
6021,romantic,4,5,6,5
6022,happy,13,6,1,7
6023,romantic,0,4,15,0
6024,romantic,0,0,2,0
6025,romantic,3,1,6,1
6026,romantic,2,4,6,2
6027,romantic,2,0,4,0
6028,happy,sad,romantic,calm,0,0,0,0
6029,sad,1,6,3,1
6030,romantic,1,4,7,4
6031,romantic,0,2,9,3
6032,sad,7,28,26,18
6033,romantic,0,22,25,3
6034,romantic,2,2,4,2
6035,happy,38,31,22,33
6036,happy,sad,romantic,calm,0,0,0,0
6037,romantic,0,0,3,0
6038,happy,sad,romantic,calm,0,0,0,0
6039,romantic,0,0,2,0
6040,romantic,0,2,10,2
6041,sad,4,75,12,1
6042,sad,1,13,4,0
6043,sad,3,13,3,3
6044,happy,3,0,1,0
6045,romantic,1,2,3,0
6046,happy,sad,romantic,calm,0,0,0,0
6047,romantic,7,11,17,8
6048,happy,romantic,2,0,2,0
6049,romantic,1,1,12,0
6050,romantic,0,0,8,0
6051,romantic,0,0,11,0
6052,romantic,1,5,6,5
6053,sad,1,3,1,1
6054,happy,romantic,1,0,1,0
6055,happy,5,3,0,1
6056,romantic,2,1,6,0
6057,sad,0,5,2,1
6058,happy,sad,romantic,1,1,1,0
6059,happy,5,0,2,0
6060,romantic,2,6,8,5
6061,romantic,0,1,6,1
6062,sad,55,64,41,56
6063,sad,122,138,91,125
6064,sad,172,215,64,173
6065,sad,39,52,28,39
6066,sad,22,32,24,24
6067,sad,71,117,83,73
6068,sad,35,47,30,29
6069,sad,23,37,22,28
6070,sad,29,36,21,34
6071,sad,93,112,75,95
6072,calm,106,119,73,125
6073,calm,79,75,49,87
6074,calm,116,111,44,117
6075,sad,102,115,77,93
6076,sad,72,106,77,47
6077,sad,48,72,32,57
6078,sad,90,129,50,101
6079,happy,2,0,0,0
6080,happy,34,4,33,30
6081,romantic,0,1,6,0
6082,sad,romantic,4,6,6,0
6083,happy,21,2,0,0
6084,romantic,calm,1,4,5,5
6085,happy,sad,romantic,calm,0,0,0,0
6086,sad,1,2,1,1
6087,romantic,1,3,7,2
6088,sad,romantic,calm,0,1,1,1
6089,happy,romantic,1,0,1,0
6090,romantic,1,0,14,3
6091,romantic,4,4,12,0
6092,happy,romantic,3,1,3,0
6093,romantic,1,5,6,1
6094,sad,7,19,16,12
6095,romantic,0,1,18,1
6096,romantic,0,0,5,1
6097,happy,sad,romantic,calm,0,0,0,0
6098,romantic,2,1,8,1
6099,romantic,0,1,2,0
6100,sad,1,6,3,0
6101,sad,6,9,0,6
6102,romantic,0,0,3,2
6103,romantic,1,1,10,0
6104,romantic,3,1,6,0
6105,romantic,1,3,11,3
6106,romantic,0,2,8,0
6107,sad,2,3,2,1
6108,happy,5,4,3,0
6109,romantic,1,6,7,3
6110,romantic,1,9,12,4
6111,happy,6,2,5,0
6112,sad,romantic,0,1,1,0
6113,sad,1,3,2,0
6114,romantic,9,9,15,6
6115,sad,romantic,1,2,2,0
6116,romantic,4,0,8,0
6117,happy,sad,romantic,5,5,5,1
6118,happy,7,0,4,1
6119,happy,sad,romantic,calm,0,0,0,0
6120,romantic,1,2,7,0
6121,romantic,0,3,9,3
6122,romantic,0,0,1,0
6123,romantic,0,0,2,0
6124,sad,6,24,13,0
6125,romantic,2,6,8,6
6126,sad,romantic,0,4,4,0
6127,romantic,7,1,10,1
6128,happy,13,11,8,9
6129,romantic,17,4,18,3
6130,happy,12,9,6,5
6131,romantic,1,2,5,2
6132,happy,6,0,3,1
6133,romantic,3,2,12,0
6134,sad,2,105,0,0
6135,romantic,5,3,6,1
6136,happy,15,0,13,0
6137,sad,2,3,2,2
6138,romantic,0,1,3,0
6139,romantic,0,1,5,0
6140,happy,sad,romantic,calm,0,0,0,0
6141,happy,sad,calm,2,2,0,2
6142,romantic,7,1,10,1
6143,happy,4,0,3,0
6144,sad,calm,0,2,0,2
6145,happy,sad,romantic,calm,0,0,0,0
6146,romantic,0,2,4,2
6147,romantic,0,3,5,3
6148,romantic,2,12,14,9
6149,happy,romantic,8,7,8,1
6150,romantic,14,5,16,7
6151,romantic,7,10,11,5
6152,romantic,3,1,9,0
6153,romantic,3,3,6,1
6154,sad,2,6,5,2
6155,romantic,7,13,17,7
6156,romantic,2,20,23,14
6157,sad,2,7,5,2
6158,romantic,11,8,12,0
6159,happy,sad,romantic,11,11,11,7
6160,romantic,1,1,5,1
6161,romantic,8,1,9,2
6162,happy,8,4,2,0
6163,sad,calm,0,20,19,20
6164,sad,0,16,12,6
6165,romantic,calm,2,3,4,4
6166,happy,sad,romantic,calm,1,1,1,1
6167,romantic,2,6,7,6
6168,sad,romantic,3,4,4,1
6169,happy,sad,romantic,calm,0,0,0,0
6170,sad,1,5,2,2
6171,romantic,1,6,7,1
6172,happy,romantic,4,2,4,1
6173,sad,0,5,2,1
6174,romantic,2,4,7,3
6175,happy,10,6,9,0
6176,romantic,4,0,6,0
6177,happy,romantic,7,2,7,0
6178,romantic,6,6,9,5
6179,romantic,9,1,11,0
6180,calm,0,1,5,11
6181,romantic,1,4,6,1
6182,romantic,0,1,2,1
6183,romantic,7,13,16,4
6184,romantic,1,0,4,0
6185,happy,romantic,58,57,58,57
6186,romantic,7,3,13,0
6187,romantic,3,3,13,3
6188,romantic,7,3,11,0
6189,romantic,3,3,12,0
6190,romantic,0,1,5,0
6191,romantic,3,0,15,1
6192,sad,0,6,4,2
6193,sad,8,24,14,4
6194,happy,7,0,6,0
6195,romantic,1,3,11,1
6196,romantic,2,6,7,6
6197,sad,romantic,0,3,3,1
6198,happy,16,3,13,0
6199,romantic,2,3,4,0
6200,romantic,5,4,7,1
6201,romantic,0,1,19,1
6202,romantic,0,1,4,1
6203,happy,sad,romantic,calm,0,0,0,0
6204,romantic,1,7,22,6
6205,romantic,0,0,8,0
6206,romantic,0,1,2,0
6207,happy,romantic,1,0,1,0
6208,romantic,0,9,10,6
6209,romantic,2,1,4,0
6210,romantic,3,1,10,1
6211,sad,0,4,2,0
6212,calm,0,0,0,2
6213,sad,0,1,0,0
6214,happy,2,0,0,0
6215,happy,sad,romantic,calm,0,0,0,0
6216,happy,33,17,10,11
6217,happy,16,4,11,6
6218,happy,10,2,8,2
6219,happy,5,3,4,2
6220,romantic,40,12,41,18
6221,sad,15,29,12,22
6222,romantic,0,0,1,0
6223,romantic,22,9,83,14
6224,sad,33,43,38,20
6225,sad,31,40,27,28
6226,sad,14,19,18,7
6227,sad,romantic,6,12,12,6
6228,sad,28,30,28,22
6229,sad,36,51,33,31
6230,sad,31,43,28,26
6231,sad,romantic,52,76,76,36
6232,sad,19,40,28,19
6233,romantic,5,10,11,3
6234,sad,16,20,17,11
6235,romantic,5,4,34,1
6236,romantic,5,3,6,2
6237,calm,1,0,1,2
6238,happy,sad,romantic,calm,0,0,0,0
6239,sad,romantic,1,2,2,1
6240,romantic,0,0,2,0
6241,romantic,9,10,12,3
6242,happy,sad,4,4,2,1
6243,romantic,0,0,5,0
6244,happy,9,0,0,0
6245,happy,5,4,0,0
6246,romantic,0,0,3,1
6247,romantic,14,3,16,2
6248,sad,romantic,2,6,6,2
6249,romantic,4,11,13,4
6250,sad,romantic,0,4,4,0
6251,sad,romantic,6,19,19,6
6252,romantic,7,14,30,17
6253,sad,3,13,12,12
6254,romantic,4,8,29,6
6255,sad,2,8,4,0
6256,romantic,2,1,5,1
6257,romantic,8,14,18,6
6258,sad,4,7,5,0
6259,romantic,2,1,3,0
6260,sad,2,4,2,1
6261,romantic,2,1,5,0
6262,romantic,2,3,5,0
6263,happy,romantic,1,0,1,0
6264,sad,0,8,2,1
6265,happy,romantic,2,0,2,0
6266,romantic,5,2,7,1
6267,happy,sad,9,9,4,0
6268,romantic,0,2,7,0
6269,romantic,5,1,6,0
6270,romantic,1,2,6,3
6271,sad,romantic,6,7,7,0
6272,happy,9,4,7,2
6273,sad,1,8,7,4
6274,romantic,1,0,2,0
6275,romantic,1,3,6,0
6276,romantic,0,2,3,1
6277,romantic,4,2,5,2
6278,romantic,0,6,9,2
6279,happy,5,4,4,1
6280,happy,romantic,2,1,2,0
6281,happy,29,19,23,24
6282,romantic,0,0,8,1
6283,romantic,3,7,23,7
6284,happy,3,0,2,0
6285,romantic,2,4,10,5
6286,romantic,3,8,16,7
6287,sad,3,4,3,0
6288,romantic,4,0,5,0
6289,romantic,1,0,5,0
6290,romantic,0,1,2,0
6291,romantic,1,7,31,0
6292,romantic,1,5,26,0
6293,romantic,2,1,3,0
6294,sad,romantic,4,5,5,3
6295,happy,4,1,2,1
6296,sad,1,3,2,2
6297,romantic,7,0,8,0
6298,romantic,2,4,8,1
6299,romantic,2,0,4,0
6300,romantic,2,5,6,3
6301,romantic,0,3,6,3
6302,romantic,6,2,8,0
6303,romantic,0,0,1,0
6304,romantic,6,6,13,0
6305,sad,romantic,calm,0,2,2,2
6306,romantic,3,2,5,1
6307,romantic,1,3,14,2
6308,romantic,2,4,8,2
6309,happy,7,4,4,2
6310,happy,sad,romantic,1,1,1,0
6311,happy,sad,3,3,0,0
6312,romantic,5,1,12,1
6313,sad,45,66,48,42
6314,sad,15,71,31,15
6315,sad,80,97,77,80
6316,calm,102,100,89,103
6317,sad,104,126,95,88
6318,sad,92,97,71,86
6319,happy,105,79,79,85
6320,sad,61,94,74,60
6321,happy,romantic,1,0,1,0
6322,romantic,0,0,7,0
6323,romantic,4,17,23,18
6324,happy,2,1,0,0
6325,romantic,12,12,16,8
6326,romantic,2,11,19,1
6327,romantic,5,4,8,4
6328,romantic,2,6,12,4
6329,sad,1,8,4,3
6330,romantic,1,3,4,0
6331,romantic,2,0,4,0
6332,happy,2,1,1,0
6333,sad,1,6,1,0
6334,sad,2,31,16,11
6335,romantic,1,2,4,1
6336,romantic,1,1,13,0
6337,sad,0,9,6,0
6338,sad,0,4,3,0
6339,romantic,1,1,2,0
6340,romantic,2,0,3,0
6341,romantic,1,3,4,0
6342,romantic,1,6,9,0
6343,romantic,10,7,13,6
6344,romantic,3,7,10,7
6345,romantic,1,4,10,3
6346,romantic,0,2,3,2
6347,sad,1,10,7,6
6348,sad,romantic,0,9,9,4
6349,sad,6,18,15,14
6350,romantic,7,13,20,9
6351,sad,0,7,5,1
6352,romantic,0,3,12,3
6353,romantic,2,12,14,5
6354,romantic,15,18,21,15
6355,sad,14,33,23,19
6356,sad,1,17,3,1
6357,romantic,3,4,5,0
6358,sad,4,10,7,1
6359,romantic,8,25,27,9
6360,romantic,5,13,15,7
6361,romantic,0,2,3,0
6362,romantic,3,8,15,0
6363,romantic,5,4,6,0
6364,romantic,3,1,5,0
6365,sad,2,10,8,8
6366,romantic,17,17,32,4
6367,romantic,26,25,39,14
6368,romantic,14,17,25,4
6369,romantic,23,17,29,7
6370,sad,24,29,17,20
6371,happy,60,47,48,37
6372,romantic,22,22,24,8
6373,romantic,21,22,48,3
6374,romantic,30,31,51,2
6375,sad,romantic,29,30,30,6
6376,romantic,18,16,24,2
6377,romantic,17,20,30,2
6378,romantic,26,11,45,5
6379,romantic,1,3,8,0
6380,sad,12,17,5,2
6381,happy,4,1,1,0
6382,sad,4,13,1,0
6383,sad,4,7,0,3
6384,romantic,4,7,8,3
6385,romantic,1,1,2,0
6386,sad,26,32,15,10
6387,happy,sad,16,16,12,6
6388,happy,sad,22,22,11,17
6389,happy,28,20,11,19
6390,happy,49,38,24,12
6391,happy,20,16,15,5
6392,happy,17,14,6,10
6393,sad,16,21,6,18
6394,happy,30,23,29,9
6395,romantic,23,17,34,10
6396,happy,42,21,19,18
6397,happy,sad,calm,22,22,12,22
6398,happy,37,30,20,13
6399,happy,57,38,16,31
6400,romantic,12,15,19,8
6401,happy,sad,30,30,25,10
6402,happy,33,23,18,22
6403,sad,28,30,11,14
6404,happy,62,45,32,50
6405,happy,30,19,16,11
6406,romantic,0,0,13,0
6407,happy,62,61,34,36
6408,happy,82,58,31,49
6409,happy,9,2,5,2
6410,romantic,0,3,5,3
6411,romantic,1,0,4,0
6412,romantic,0,0,2,0
6413,happy,romantic,2,1,2,1
6414,romantic,7,6,10,0
6415,romantic,3,2,4,0
6416,sad,romantic,1,5,5,4
6417,romantic,2,1,4,0
6418,romantic,3,0,7,1
6419,romantic,1,0,4,0
6420,happy,romantic,1,0,1,0
6421,happy,6,1,2,0
6422,romantic,0,0,2,0
6423,romantic,0,2,4,1
6424,romantic,3,0,16,0
6425,romantic,2,0,4,0
6426,romantic,0,0,1,0
6427,romantic,0,0,4,0
6428,romantic,1,0,4,0
6429,romantic,0,0,1,0
6430,romantic,3,3,5,0
6431,sad,romantic,calm,0,1,1,1
6432,romantic,0,1,2,1
6433,romantic,0,3,4,2
6434,romantic,0,0,9,0
6435,romantic,5,3,16,2
6436,romantic,1,1,11,1
6437,romantic,0,0,4,0
6438,happy,romantic,1,0,1,0
6439,sad,22,24,1,0
6440,sad,3,4,2,1
6441,romantic,1,0,15,1
6442,sad,0,2,1,0
6443,romantic,1,0,12,0
6444,romantic,3,4,5,2
6445,romantic,0,0,1,0
6446,romantic,0,1,2,1
6447,romantic,1,2,5,2
6448,romantic,0,6,19,6
6449,sad,0,9,4,3
6450,romantic,4,2,6,1
6451,romantic,3,1,9,0
6452,romantic,1,3,21,1
6453,romantic,0,1,5,0
6454,romantic,0,1,3,0
6455,romantic,0,2,16,2
6456,romantic,0,0,1,0
6457,sad,6,7,2,1
6458,happy,63,3,6,0
6459,romantic,0,0,4,0
6460,romantic,0,0,10,0
6461,romantic,10,5,11,3
6462,romantic,2,4,7,2
6463,romantic,2,1,3,1
6464,romantic,3,45,68,0
6465,romantic,1,2,7,1
6466,happy,31,25,28,18
6467,romantic,0,0,12,0
6468,romantic,calm,0,0,4,4
6469,sad,4,5,4,2
6470,romantic,2,2,5,0
6471,sad,69,77,4,67
6472,romantic,1,0,5,0
6473,romantic,3,12,18,12
6474,romantic,1,1,12,0
6475,romantic,0,3,8,0
6476,happy,1,0,0,0
6477,romantic,0,1,3,0
6478,happy,sad,3,3,1,0
6479,romantic,4,0,7,0
6480,romantic,0,0,2,0
6481,calm,2,0,6,13
6482,happy,sad,romantic,1,1,1,0
6483,sad,romantic,0,1,1,0
6484,happy,romantic,1,0,1,0
6485,sad,1,7,1,0
6486,romantic,calm,0,0,1,1
6487,calm,0,1,3,8
6488,sad,romantic,0,3,3,0
6489,sad,romantic,0,6,6,0
6490,sad,romantic,0,1,1,0
6491,sad,romantic,0,5,5,0
6492,sad,romantic,0,6,6,0
6493,sad,romantic,0,1,1,0
6494,sad,0,4,1,0
6495,sad,romantic,0,5,5,0
6496,happy,sad,romantic,calm,0,0,0,0
6497,sad,0,3,2,0
6498,romantic,1,1,6,1
6499,romantic,0,0,3,0
6500,sad,2,3,2,1
6501,romantic,2,0,5,0
6502,romantic,1,1,13,1
6503,romantic,8,1,11,0
6504,romantic,0,1,15,1
6505,sad,0,1,0,0
6506,romantic,4,0,7,4
6507,sad,5,14,1,0
6508,happy,romantic,4,1,4,0
6509,romantic,4,0,5,0
6510,sad,1,11,1,0
6511,romantic,1,2,3,1
6512,romantic,4,2,6,1
6513,sad,7,18,16,8
6514,sad,3,11,3,4
6515,sad,4,10,6,6
6516,sad,2,18,10,9
6517,sad,1,7,6,2
6518,sad,3,23,20,14
6519,romantic,3,7,8,4
6520,sad,5,12,11,8
6521,sad,1,8,4,3
6522,sad,5,6,5,1
6523,romantic,5,6,11,1
6524,sad,3,52,40,38
6525,sad,10,19,17,8
6526,sad,1,16,15,4
6527,romantic,1,0,2,0
6528,romantic,0,2,3,1
6529,romantic,1,3,8,3
6530,sad,romantic,0,1,1,0
6531,calm,0,0,1,2
6532,sad,0,4,3,3
6533,happy,4,0,0,0
6534,happy,5,1,3,2
6535,romantic,0,0,2,0
6536,romantic,1,1,3,1
6537,romantic,0,0,4,0
6538,sad,0,2,0,0
6539,happy,sad,19,19,16,6
6540,romantic,2,0,21,0
6541,romantic,2,2,4,0
6542,happy,sad,romantic,calm,0,0,0,0
6543,sad,3,26,11,2
6544,romantic,0,0,1,0
6545,happy,6,0,1,1
6546,happy,sad,romantic,1,1,1,0
6547,happy,sad,romantic,2,2,2,0
6548,romantic,0,0,2,0
6549,happy,2,0,1,0
6550,happy,1,0,0,0
6551,romantic,0,0,6,0
6552,happy,romantic,calm,1,0,1,1
6553,romantic,1,0,4,0
6554,happy,romantic,calm,1,0,1,1
6555,sad,1,3,2,2
6556,romantic,0,0,2,0
6557,romantic,0,0,2,0
6558,romantic,4,4,6,0
6559,sad,romantic,0,8,8,0
6560,calm,1,0,2,3
6561,romantic,2,2,4,0
6562,happy,2,1,0,0
6563,romantic,0,0,1,0
6564,romantic,0,1,3,0
6565,sad,romantic,0,3,3,2
6566,romantic,1,1,4,1
6567,romantic,1,0,5,2
6568,romantic,1,2,5,2
6569,romantic,1,1,4,1
6570,happy,3,1,2,1
6571,romantic,6,7,15,13
6572,romantic,2,2,4,0
6573,sad,0,10,9,9
6574,romantic,2,2,11,2
6575,romantic,0,1,2,1
6576,romantic,0,0,4,1
6577,romantic,1,0,2,0
6578,sad,2,3,2,1
6579,happy,romantic,3,2,3,2
6580,happy,sad,romantic,calm,0,0,0,0
6581,romantic,1,1,9,0
6582,romantic,0,0,2,0
6583,romantic,1,0,2,0
6584,romantic,0,0,1,0
6585,calm,0,0,4,5
6586,romantic,1,7,9,6
6587,happy,20,18,0,0
6588,romantic,0,1,3,2
6589,happy,3,1,1,2
6590,romantic,5,0,8,0
6591,romantic,0,1,4,0
6592,happy,1,0,0,0
6593,romantic,2,0,7,1
6594,romantic,0,0,5,0
6595,romantic,2,1,6,2
6596,romantic,4,1,11,1
6597,romantic,0,1,8,0
6598,romantic,2,1,9,1
6599,romantic,0,2,11,2
6600,romantic,0,0,11,0
6601,romantic,5,5,11,5
6602,romantic,1,1,9,3
6603,sad,4,5,0,0
6604,sad,2,8,5,3
6605,happy,romantic,11,9,11,9
6606,romantic,0,2,5,3
6607,happy,6,0,2,1
6608,romantic,2,0,6,0
6609,romantic,11,0,12,0
6610,romantic,0,2,8,2
6611,romantic,0,4,8,4
6612,romantic,3,1,4,0
6613,romantic,calm,0,1,2,2
6614,romantic,1,1,4,1
6615,happy,sad,romantic,1,1,1,0
6616,romantic,0,0,1,0
6617,happy,1,0,0,0
6618,romantic,0,1,3,1
6619,romantic,9,2,11,2
6620,sad,2,6,5,3
6621,calm,0,4,2,6
6622,romantic,0,0,10,1
6623,romantic,0,1,3,1
6624,romantic,1,0,3,0
6625,romantic,1,4,8,1
6626,romantic,0,0,6,0
6627,romantic,13,0,19,0
6628,romantic,5,13,23,9
6629,happy,sad,romantic,3,3,3,0
6630,romantic,1,0,3,0
6631,sad,1,8,7,0
6632,romantic,0,0,1,0
6633,romantic,0,1,2,0
6634,sad,0,3,1,1
6635,romantic,1,1,3,0
6636,romantic,0,0,5,1
6637,sad,romantic,1,9,9,5
6638,romantic,9,8,10,3
6639,sad,2,7,5,5
6640,romantic,2,14,22,11
6641,romantic,4,3,9,2
6642,sad,romantic,1,4,4,1
6643,sad,calm,2,7,5,7
6644,sad,0,2,0,0
6645,sad,2,4,0,0
6646,sad,5,11,5,3
6647,romantic,5,2,6,5
6648,sad,1,5,4,1
6649,sad,romantic,2,3,3,2
6650,romantic,1,1,4,1
6651,sad,1,3,1,1
6652,romantic,2,4,6,4
6653,romantic,6,6,7,2
6654,romantic,1,0,2,0
6655,romantic,3,4,6,1
6656,romantic,7,18,19,5
6657,sad,6,7,6,0
6658,happy,17,4,7,4
6659,happy,sad,5,5,2,4
6660,sad,romantic,2,6,6,4
6661,sad,6,15,12,5
6662,sad,0,4,0,0
6663,sad,romantic,1,3,3,1
6664,romantic,2,0,5,0
6665,sad,1,5,4,4
6666,happy,romantic,8,4,8,0
6667,romantic,3,3,6,2
6668,happy,romantic,2,1,2,0
6669,happy,3,0,2,0
6670,happy,romantic,1,0,1,0
6671,sad,0,2,0,0
6672,sad,1,8,0,0
6673,happy,7,2,3,0
6674,sad,3,7,1,0
6675,sad,romantic,5,8,8,7
6676,sad,0,19,5,4
6677,romantic,1,6,11,5
6678,romantic,0,0,13,0
6679,romantic,2,5,10,3
6680,romantic,3,6,8,5
6681,romantic,2,4,11,4
6682,happy,sad,calm,11,11,10,11
6683,sad,9,13,8,7
6684,happy,23,3,12,2
6685,romantic,17,8,27,8
6686,happy,24,17,15,5
6687,sad,9,10,5,6
6688,romantic,25,20,37,22
6689,sad,0,46,14,1
6690,happy,sad,17,17,7,1
6691,happy,17,16,5,1
6692,sad,15,18,10,3
6693,sad,3,9,0,2
6694,sad,6,10,1,1
6695,romantic,20,17,33,6
6696,sad,28,30,8,2
6697,romantic,7,4,9,2
6698,happy,calm,23,3,0,23
6699,sad,1,4,2,1
6700,romantic,29,15,42,20
6701,sad,18,20,1,4
6702,happy,16,15,5,4
6703,sad,18,23,17,3
6704,romantic,0,5,6,0
6705,sad,28,29,27,25
6706,sad,34,40,27,19
6707,sad,6,8,2,1
6708,sad,4,6,2,2
6709,sad,romantic,3,4,4,0
6710,romantic,21,20,35,10
6711,sad,5,8,5,1
6712,happy,12,10,2,1
6713,happy,13,8,9,7
6714,sad,romantic,0,1,1,0
6715,happy,sad,romantic,calm,0,0,0,0
6716,romantic,2,1,5,0
6717,sad,romantic,0,1,1,0
6718,happy,sad,romantic,calm,0,0,0,0
